"provider_dataset_id","provider_version","raw_relative_path","source_rows","unique_sample_ids","unique_dates","earliest_date","latest_date","unique_stations","core_rows","external_transfer_rows","outside_domain_rows","carbon_rows","biovolume_rows","abundance_or_count_rows","method_metadata_rows","parameters","units"
"SHARK_Phytoplankton_2015_SMHI_ColorFantasy","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2015_SMHI_ColorFantasy_version_2025-03-09.zip",738,9,9,"2015-02-01","2015-10-30",1,0,738,0,243,0,495,738,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2015_SMHI_TRANSPAPER","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2015_SMHI_TRANSPAPER_version_2025-03-09.zip",1397,20,11,"2015-06-20","2015-09-14",1,0,0,1397,453,0,944,1397,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2015_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2015_UMSC_version_2025-03-09.zip",2174,18,18,"2015-01-13","2015-12-03",2,0,0,2174,720,0,1454,2174,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2016_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2016_DEEP_version_2025-03-09.zip",4240,36,28,"2016-01-08","2016-12-13",3,0,0,4240,1060,1060,2120,4240,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2016_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2016_SMHI_version_2025-03-09.zip",5210,34,26,"2016-01-11","2016-12-12",2,0,5210,0,1726,0,3484,0,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2016_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2016_UMSC_version_2025-03-09.zip",3310,20,20,"2016-01-26","2016-12-08",2,0,0,3310,825,829,1656,3310,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2017_2023_DEEP_NYKOM","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2017_2023_DEEP_NYKOM_version_2025-03-09.zip",1576,4,4,"2020-07-14","2020-08-28",1,0,0,1576,394,394,788,1576,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2017_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2017_DEEP_version_2025-03-09.zip",4844,32,27,"2017-01-09","2017-12-16",3,0,0,4844,1211,1211,2422,4844,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2017_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2017_SMHI_version_2025-03-09.zip",6243,28,25,"2017-01-13","2017-12-19",2,0,6243,0,1561,1560,3122,0,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2017_SMHI_ColorFantasy","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2017_SMHI_ColorFantasy_version_2025-03-09.zip",268,2,2,"2017-02-28","2017-03-06",1,0,268,0,67,67,134,0,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2017_SMHI_WEAQ_TRANSPAPER","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2017_SMHI_WEAQ_TRANSPAPER_version_2025-03-09.zip",2762,25,13,"2017-04-08","2017-09-04",1,0,0,2762,920,0,1842,0,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
