"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state"
"DS02","Phacus caudatus","","","","AANTPVLME","N/ML",1,"reported_name_diagnostic_only",2,203,344,"name_candidate_requires_worms_validation"
"DS02","Phacus glaber","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Phacus longicauda","","","","AANTPVLME","N/ML",1,"reported_name_diagnostic_only",2,140,972,"name_candidate_requires_worms_validation"
"DS02","Phacus orbicularis","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Phacus oscillans [1]","","","","AANTPVLME","N/ML",3,"no_match_key",0,,,"unmatched"
"DS02","Phacus polytrophos","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Phacus pusillus","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Phacus suecicus","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Phacus tortus","","","","AANTPVLME","N/ML",1,"reported_name_diagnostic_only",1,1621,1621,"name_candidate_requires_worms_validation"
"DS02","Phaeocystis","","","","AANTPVLME","N/L",9355,"reported_name_diagnostic_only",4,8,41,"name_candidate_requires_worms_validation"
"DS02","Phaeocystis","","","","AANTPVLME","N/ML",15,"reported_name_diagnostic_only",4,8,41,"name_candidate_requires_worms_validation"
"DS02","Phalacroma rotundatum","","","","AANTPVLME","N/L",111,"reported_name_diagnostic_only",4,526,1770,"name_candidate_requires_worms_validation"
"DS02","Phormidium","","","","AANTPVLME","N/ML",2,"reported_name_diagnostic_only",6,33,1246,"name_candidate_requires_worms_validation"
"DS02","Phormidium [1]","","","","AANTPVLME","N/ML",9,"no_match_key",0,,,"unmatched"
"DS02","Pinnularia","","","","AANTFTE","PROCENT",3,"reported_name_diagnostic_only",2,1628,3947,"name_candidate_requires_worms_validation"
"DS02","Pinnularia","","","","AANTPVLME","N/ML",4,"reported_name_diagnostic_only",2,1628,3947,"name_candidate_requires_worms_validation"
"DS02","Pinnularia borealis","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Pinnularia parvulissima","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Pinnularia subgibba var. undulata","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Pinnularia viridiformis","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Placoneis","","","","AANTFTE","PROCENT",6,"no_match_key",0,,,"unmatched"
"DS02","Placoneis anglica","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Placoneis clementioides","","","","AANTFTE","PROCENT",4,"no_match_key",0,,,"unmatched"
"DS02","Placoneis clementis","","","","AANTFTE","PROCENT",7,"no_match_key",0,,,"unmatched"
"DS02","Placoneis elginensis","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Placoneis gastrum","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Placoneis nanoclementis","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Placoneis placentula","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Placoneis pseudanglica","","","","AANTFTE","PROCENT",9,"no_match_key",0,,,"unmatched"
"DS02","Placoneis undulata","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Plagiogrammopsis","","","","AANTPVLME","N/L",2682,"no_match_key",0,,,"unmatched"
"DS02","Plagiogrammopsis","","","","AANTPVLME","N/ML",5,"no_match_key",0,,,"unmatched"
"DS02","Plagiogrammopsis vanheurckii","","","","AANTPVLME","N/ML",10,"no_match_key",0,,,"unmatched"
"DS02","Plagiolemma distortum","","","","AANTPVLME","N/L",210,"no_match_key",0,,,"unmatched"
"DS02","Plagiolemma distortum","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Plagioselmis [1]","","","","AANTPVLME","N/ML",241,"no_match_key",0,,,"unmatched"
"DS02","Plagioselmis nannoplanctica","","","","AANTPVLME","N/L",390,"reported_name_diagnostic_only",1,11,11,"name_candidate_requires_worms_validation"
"DS02","Plagioselmis nannoplanctica","","","","AANTPVLME","N/ML",3849,"reported_name_diagnostic_only",1,11,11,"name_candidate_requires_worms_validation"
"DS02","Plagiotropidaceae","","","","AANTPVLME","N/L",237,"no_match_key",0,,,"unmatched"
"DS02","Plagiotropidaceae","","","","AANTPVLME","N/ML",3,"no_match_key",0,,,"unmatched"
"DS02","Plagiotropis lepidoptera","","","","AANTPVLME","N/L",4,"no_match_key",0,,,"unmatched"
"DS02","Planctonema","","","","AANTPVLME","N/L",132,"no_match_key",0,,,"unmatched"
"DS02","Planctonema","","","","AANTPVLME","N/ML",57,"no_match_key",0,,,"unmatched"
"DS02","Planctonema lauterbornii [1]","","","","AANTPVLME","N/ML",49,"no_match_key",0,,,"unmatched"
"DS02","Planctonema lauterbornii [3]","","","","AANTPVLME","N/ML",3,"no_match_key",0,,,"unmatched"
"DS02","Planctonema subtilissimum","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Planktolyngbya","","","","AANTPVLME","N/ML",9,"reported_name_diagnostic_only",7,16,88,"name_candidate_requires_worms_validation"
"DS02","Planktolyngbya capillaris","","","","AANTPVLME","N/ML",47,"no_match_key",0,,,"unmatched"
"DS02","Planktolyngbya contorta","","","","AANTPVLME","N/ML",220,"reported_name_diagnostic_only",1,34,34,"name_candidate_requires_worms_validation"
"DS02","Planktolyngbya limnetica","","","","AANTPVLME","N/L",3,"reported_name_diagnostic_only",2,16,58,"name_candidate_requires_worms_validation"
"DS02","Planktolyngbya limnetica","","","","AANTPVLME","N/ML",94,"reported_name_diagnostic_only",2,16,58,"name_candidate_requires_worms_validation"
"DS02","Planktolyngbya microspira","","","","AANTPVLME","N/ML",5,"no_match_key",0,,,"unmatched"
"DS02","Planktosphaeria","","","","AANTPVLME","N/ML",4,"reported_name_diagnostic_only",1,41,41,"name_candidate_requires_worms_validation"
"DS02","Planktosphaeria gelatinosa","","","","AANTPVLME","N/L",13,"reported_name_diagnostic_only",1,41,41,"name_candidate_requires_worms_validation"
"DS02","Planktosphaeria gelatinosa","","","","AANTPVLME","N/ML",50,"reported_name_diagnostic_only",1,41,41,"name_candidate_requires_worms_validation"
"DS02","Planktothrix","","","","AANTPVLME","N/L",3,"reported_name_diagnostic_only",7,33,759,"name_candidate_requires_worms_validation"
"DS02","Planktothrix","","","","AANTPVLME","N/ML",6,"reported_name_diagnostic_only",7,33,759,"name_candidate_requires_worms_validation"
"DS02","Planktothrix agardhii","","","","AANTPVLME","N/L",566,"reported_name_diagnostic_only",2,166,325,"name_candidate_requires_worms_validation"
"DS02","Planktothrix agardhii","","","","AANTPVLME","N/ML",71,"reported_name_diagnostic_only",2,166,325,"name_candidate_requires_worms_validation"
"DS02","Planktothrix rubescens","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Planothidium","","","","AANTFTE","PROCENT",32,"no_match_key",0,,,"unmatched"
"DS02","Planothidium","","","","AANTPVLME","N/L",1,"no_match_key",0,,,"unmatched"
"DS02","Planothidium","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Planothidium biporomum","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Planothidium daui","","","","AANTFTE","PROCENT",5,"no_match_key",0,,,"unmatched"
"DS02","Planothidium delicatulum","","","","AANTFTE","PROCENT",60,"no_match_key",0,,,"unmatched"
"DS02","Planothidium dubium","","","","AANTFTE","PROCENT",4,"no_match_key",0,,,"unmatched"
"DS02","Planothidium engelbrechtii","","","","AANTFTE","PROCENT",16,"no_match_key",0,,,"unmatched"
"DS02","Planothidium frequentissimum","","","","AANTFTE","PROCENT",144,"no_match_key",0,,,"unmatched"
"DS02","Planothidium frequentissimum","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Planothidium frequentissimum var. frequentissimum","","","","AANTFTE","PROCENT",16,"no_match_key",0,,,"unmatched"
"DS02","Planothidium frequentissimum var. magnum","","","","AANTFTE","PROCENT",40,"no_match_key",0,,,"unmatched"
"DS02","Planothidium frequentissimum var. minus","","","","AANTFTE","PROCENT",4,"no_match_key",0,,,"unmatched"
"DS02","Planothidium granum","","","","AANTFTE","PROCENT",4,"no_match_key",0,,,"unmatched"
"DS02","Planothidium hauckianum","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Planothidium lanceolatum","","","","AANTFTE","PROCENT",95,"no_match_key",0,,,"unmatched"
"DS02","Planothidium lanceolatum","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
