"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state","accepted_aphia_id","accepted_name","accepted_rank","taxonomy_resolution_state","authority_candidate_rows","authority_match_route","candidate_carbon_pg_lower","candidate_carbon_pg_central","candidate_carbon_pg_upper","conversion_readiness_state"
"DS04","Anabaena",146585,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",10,3,917,"multiple_size_or_stage_candidates","146585","Anabaena","Genus","provider_aphia_id_validated_by_worms",10,"accepted_aphia_id",3,,917,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Anabaenopsis",146590,,"","abundance","not_reported_in_plet_export",715,"reported_aphia_id",3,41,260,"multiple_size_or_stage_candidates","146590","Anabaenopsis","Genus","provider_aphia_id_validated_by_worms",3,"accepted_aphia_id",41,,260,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Anathece minutissima",624955,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",5,0.14,28,"multiple_size_or_stage_candidates","624955","Anathece minutissima","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",0.14,,28,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Anomalocera",104206,,"crustacean, copepods","abundance","not_reported_in_plet_export",717,"reported_aphia_id",0,,,"unmatched","104206","Anomalocera","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Anomalocera patersonii",364368,,"crustacean, holoplankton, lg_copepods, carniv_zoo, copepods","abundance","not_reported_in_plet_export",740,"reported_aphia_id",0,,,"unmatched","364368","Anomalocera patersonii","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Anthoathecata",13551,,"gelatinous, meroplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","13551","Anthoathecata","Order","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Apedinella radians",248097,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",5,11,89,"multiple_size_or_stage_candidates","248097","Apedinella radians","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",11,,89,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Aphanizomenon",160567,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",6,57,309,"multiple_size_or_stage_candidates","160567","Aphanizomenon","Genus","provider_aphia_id_validated_by_worms",6,"accepted_aphia_id",57,,309,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Aphanocapsa",146562,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",717,"reported_aphia_id",15,0.2,519,"multiple_size_or_stage_candidates","146562","Aphanocapsa","Genus","provider_aphia_id_validated_by_worms",15,"accepted_aphia_id",0.2,,519,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Aphanothece",146715,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",10,0.23,243,"multiple_size_or_stage_candidates","146715","Aphanothece","Genus","provider_aphia_id_validated_by_worms",10,"accepted_aphia_id",0.23,,243,"not_ready_multiple_size_or_stage_authority_rows"
