"file_name","raw_relative_path","source_rows","valid_coordinate_rows","valid_time_rows","chlorophyll_present_rows","qc_eligible_chlorophyll_rows","usable_secondary_rows","core_usable_rows","external_transfer_usable_rows","outside_domain_usable_rows","invalid_coordinate_usable_rows","first_datetime_utc","last_datetime_utc"
"HZG-Ferrybox_Harw-CuxNR8798.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8798.nc",5015,5015,5015,5015,5015,5015,5015,0,0,0,"2002-04-25T15:29:44Z","2002-04-26T07:23:55Z"
"HZG-Ferrybox_Cux-HarwNR8818.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8818.nc",5315,5315,5315,5315,5315,5315,5315,0,0,0,"2002-04-26T16:30:55Z","2002-04-27T08:43:06Z"
"HZG-Ferrybox_Harw-CuxNR8838.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8838.nc",5034,5034,5034,5034,5034,5034,5034,0,0,0,"2002-04-27T15:34:05Z","2002-04-28T07:35:14Z"
"HZG-Ferrybox_Cux-HarwNR8858.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8858.nc",5193,5193,5193,5193,5193,5193,5193,0,0,0,"2002-04-28T16:28:53Z","2002-04-29T08:44:36Z"
"HZG-Ferrybox_Harw-CuxNR8878.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8878.nc",5234,5234,5234,5234,5234,5234,5234,0,0,0,"2002-04-29T15:25:05Z","2002-04-30T07:28:44Z"
"HZG-Ferrybox_Cux-HarwNR8898.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8898.nc",3291,3291,3291,3291,3291,3291,3291,0,0,0,"2002-04-30T22:05:05Z","2002-05-01T08:34:34Z"
"HZG-Ferrybox_Harw-CuxNR8918.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8918.nc",5084,5084,5084,5084,5084,5084,5084,0,0,0,"2002-05-01T15:30:54Z","2002-05-02T07:27:54Z"
"HZG-Ferrybox_Cux-HarwNR8938.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8938.nc",5019,5019,5019,5019,5019,5019,5019,0,0,0,"2002-05-02T17:04:06Z","2002-05-03T08:41:55Z"
"HZG-Ferrybox_Harw-CuxNR8958.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8958.nc",5053,5053,5053,5053,5053,5053,5053,0,0,0,"2002-05-03T15:34:05Z","2002-05-04T07:21:25Z"
"HZG-Ferrybox_Cux-HarwNR8978.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8978.nc",3026,3026,3026,3026,3026,3026,3026,0,0,0,"2002-05-04T23:16:56Z","2002-05-05T08:35:33Z"
"HZG-Ferrybox_Harw-CuxNR9038.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR9038.nc",5009,5009,5009,5009,5009,5009,5009,0,0,0,"2002-05-07T15:44:15Z","2002-05-08T07:18:23Z"
"HZG-Ferrybox_Cux-HarwNR11618.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR11618.nc",5641,5641,5641,5641,5641,5641,5641,0,0,0,"2002-05-08T16:54:26Z","2002-05-09T08:34:25Z"
"HZG-Ferrybox_Harw-CuxNR10974.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR10974.nc",5689,5689,5689,5689,5689,5689,5689,0,0,0,"2002-05-09T15:34:13Z","2002-05-10T07:22:15Z"
"HZG-Ferrybox_Cux-HarwNR10975.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR10975.nc",5759,5759,5759,5759,5759,5759,5759,0,0,0,"2002-05-10T16:38:34Z","2002-05-11T08:38:14Z"
