"provider_taxon_id","scientific_name","occurrence_rows"
"19","Centropages furcatus",66
"242","Ceratium platycorne",64
"961","Labidocera acutifrons",63
"1672","Rhincalanus gigas",62
"10584","Fritillaria spp.",61
"10521","Pterosperma vanhoeffenii",60
"989","Total Eyecount Copepoda",58
"10696","",57
"1641","Dinophysis antarctica",56
"10657","Calanus propinquus",55
"10662","Paraeuchaeta antarctica",54
"1671","Rhincalanus gigas",54
"1634","Eucampia spp.",52
"374","Candacia curta",52
"10638","Helicotheca tamesis",50
"10724","Plastic fragment blue",50
"10578","Gazelletta hexanema",49
"267","Ornithocercus spp.",49
"62","Labidocera",48
"10520","Pterosperma marginatum",47
"10630","Guinardia cylindrus",47
"22","Farranula",46
"427","Paracandacia",46
"10527","",45
"10743","",45
"1543","Echinospira",45
"1703","Euphausia frigida",45
"269","Ceratium ranipes",45
"953","Corythodinium spp.",45
"10554","Phronima spp.",44
"1592","Lepas",43
"1670","Rhincalanus gigas",43
"10600","Subeucalanus pileatus",42
"10676","Detonula/Neodenticula temporary",42
"10703","Atlantidae",42
"163","Climacodium frauenfeldianum",42
"449","Pycnogonida",42
"10553","Vibilia spp.",41
"10585","Oikopleura spp.",41
"10618","Odontella longicruris",41
"1665","Neocalanus tonsus",41
"323","Temora turbinata",41
"462","Creseis spp.",41
"10515","Discosphaera tubifer",40
"10562","Microniscus larvae of isopod",40
"328","Acartia negligens",40
"10533","",39
"1668","Paraeuchaeta antarctica",39
"10732","Plastic flake red",38
"1657","Calanus propinquus",38
"262","Ceratium falcatiforme",38
"10519","Pterosperma ‘blocks IV’",37
"1698","Neocalanus tonsus",37
"234","Ceratium karstenii",36
"263","Ceratium longirostrum",36
"1694","Calanoides acutus",35
"236","Ceratium lunula",35
"39","Clione",35
"626","Amphipoda",35
"376","Candacia longimana",34
"1636","Rhizosolenia chunii",33
"311","Lubbockia spp.",33
"423","Neocalanus robustior",33
"10518","Pterosperma nationalis",32
"10690","",32
"10723","Plastic fragment black",32
"21","Farranula gracilis",32
